"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_Slot_Kamaz_Wheel_1_1","Front left wheel","Front left wheel","Front left wheel","Front left wheel","Переднее левое колесо","Front left wheel","Front left wheel","Front left wheel","Front left wheel","Front left wheel","Front left wheel","Front left wheel","Front left wheel","Front left wheel",
"STR_Slot_Kamaz_Wheel_1_2","Middle left wheel","Middle left wheel","Middle left wheel","Middle left wheel","Среднее левое колесо","Middle left wheel","Middle left wheel","Middle left wheel","Middle left wheel","Middle left wheel","Middle left wheel","Middle left wheel","Middle left wheel","Middle left wheel",
"STR_Slot_Kamaz_Wheel_2_1","Front right wheel","Front right wheel","Front right wheel","Front right wheel","Переднее правое колесо","Front right wheel","Front right wheel","Front right wheel","Front right wheel","Front right wheel","Front right wheel","Front right wheel","Front right wheel","Front right wheel",
"STR_Slot_Kamaz_Wheel_2_2","Middle right wheel","Middle right wheel","Middle right wheel","Middle right wheel","Среднее правое колесо","Middle right wheel","Middle right wheel","Middle right wheel","Middle right wheel","Middle right wheel","Middle right wheel","Middle right wheel","Middle right wheel","Middle right wheel",
"STR_Slot_Kamaz_Wheel_1_3","Rear left wheel","Rear left wheel","Rear left wheel","Rear left wheel","Заднее левое колесо","Rear left wheel","Rear left wheel","Rear left wheel","Rear left wheel","Rear left wheel","Rear left wheel","Rear left wheel","Rear left wheel","Rear left wheel",
"STR_Slot_Kamaz_Wheel_2_3","Rear right wheel","Rear right wheel","Rear right wheel","Rear right wheel","Заднее правое колесо","Rear right wheel","Rear right wheel","Rear right wheel","Rear right wheel","Rear right wheel","Rear right wheel","Rear right wheel","Rear right wheel","Rear right wheel",
"STR_Slot_Kamaz_Wheel_Spare_1","Spare wheel","Spare wheel","Spare wheel","Spare wheel","Запасное колесо","Spare wheel","Spare wheel","Spare wheel","Spare wheel","Spare wheel","Spare wheel","Spare wheel","Spare wheel","Spare wheel",
"STR_Slot_Kamaz_doors_Driver","Front left door","Front left door","Front left door","Front left door","Передняя левая дверь","Front left door","Front left door","Front left door","Front left door","Front left door","Front left door","Front left door","Front left door","Front left door",
"STR_Slot_Kamaz_Doors_coDriver","Front right door","Front right door","Front right door","Front right door","Передняя правая дверь","Front right door","Front right door","Front right door","Front right door","Front right door","Front right door","Front right door","Front right door","Front right door",
"STR_Slot_Kamaz_doors_trunk","Trunk lid","Trunk lid","Trunk lid","Trunk lid","Крышка багажника","Trunk lid","Trunk lid","Trunk lid","Trunk lid","Trunk lid","Trunk lid","Trunk lid","Trunk lid","Trunk lid",
"STR_Kamaz_Wheel","Wheel from Kamaz","Wheel from Kamaz","Wheel from Kamaz","Wheel from Kamaz","Колесо от КАМАЗа","Wheel from Kamaz","Wheel from Kamaz","Wheel from Kamaz","Wheel from Kamaz","Wheel from Kamaz","Wheel from Kamaz","Wheel from Kamaz","Wheel from Kamaz","Wheel from Kamaz",
"STR_Kamaz_doors_Driver","Driver's door Kamaz","Driver's door Kamaz","Driver's door Kamaz","Driver's door Kamaz","Водительская дверь КАМАЗа","Driver's door Kamaz","Driver's door Kamaz","Driver's door Kamaz","Driver's door Kamaz","Driver's door Kamaz","Driver's door Kamaz","Driver's door Kamaz","Driver's door Kamaz","Driver's door Kamaz",
"STR_Kamaz_Doors_coDriver","Front right door from Kamaz","Front right door from Kamaz","Front right door from Kamaz","Front right door from Kamaz","Передняя правая дверь от КАМАЗа","Front right door from Kamaz","Front right door from Kamaz","Front right door from Kamaz","Front right door from Kamaz","Front right door from Kamaz","Front right door from Kamaz","Front right door from Kamaz","Front right door from Kamaz","Front right door from Kamaz",
"STR_Kamaz_doors_trunk","Trunk lid from Kamaz","Trunk lid from Kamaz","Trunk lid from Kamaz","Trunk lid from Kamaz","Крышка багажника от КАМАЗа","Trunk lid from Kamaz","Trunk lid from Kamaz","Trunk lid from Kamaz","Trunk lid from Kamaz","Trunk lid from Kamaz","Trunk lid from Kamaz","Trunk lid from Kamaz","Trunk lid from Kamaz","Trunk lid from Kamaz",
"STR_Kamaz","Kamaz","Kamaz","Kamaz","Kamaz","КАМАЗ","Kamaz","Kamaz","Kamaz","Kamaz","Kamaz","Kamaz","Kamaz","Kamaz","Kamaz",
"STR_Kamaz_ZU23","Kamaz with ZU23","Kamaz with ZU23","Kamaz with ZU23","Kamaz with ZU23","КАМАЗ с ЗУ23","Kamaz with ZU23","Kamaz with ZU23","Kamaz with ZU23","Kamaz with ZU23","Kamaz with ZU23","Kamaz with ZU23","Kamaz with ZU23","Kamaz with ZU23","Kamaz with ZU23",
"STR_Kamaz_Refuel","Kamaz Tanker","Kamaz Tanker","Kamaz Tanker","Kamaz Tanker","КАМАЗ Топливозаправщик","Kamaz Tanker","Kamaz Tanker","Kamaz Tanker","Kamaz Tanker","Kamaz Tanker","Kamaz Tanker","Kamaz Tanker","Kamaz Tanker","Kamaz Tanker",
"STR_Kamaz_Tent","Kamaz with tent","Kamaz with tent","Kamaz with tent","Kamaz with tent","КАМАЗ Тентованный","Kamaz with tent","Kamaz with tent","Kamaz with tent","Kamaz with tent","Kamaz with tent","Kamaz with tent","Kamaz with tent","Kamaz with tent","Kamaz with tent",
"STR_Kamaz_Engine","Engine","Engine","Engine","Engine","Мотор","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine","Engine",
"STR_Kamaz_Body","Body","Body","Body","Body","Кузов","Body","Body","Body","Body","Body","Body","Body","Body","Body",
"STR_Kamaz_Chassis","Chassis","Chassis","Chassis","Chassis","Шасси","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis","Chassis",
"STR_Kamaz_Attachments","Attachments","Attachments","Attachments","Attachments","Дополнительно","Attachments","Attachments","Attachments","Attachments","Attachments","Attachments","Attachments","Attachments","Attachments",